Address,Date,Guest_review,Hotel_name,Max_price,Price,Star_rating
"606 Congress St,Boston,MA",3Dec,4.3,Renaissance Boston Waterfront Hotel,"Rs24,641","Rs10,402",4 stars
"606 Congress St,Boston,MA",4Dec,4.3,Renaissance Boston Waterfront Hotel,"Rs24,641","Rs16,319",4 stars
"606 Congress St,Boston,MA",5Dec,4.3,Renaissance Boston Waterfront Hotel,"Rs24,641","Rs18,140",4 stars
"606 Congress St,Boston,MA",6Dec,4.3,Renaissance Boston Waterfront Hotel,"Rs28,542","Rs28,542",4 stars
"606 Congress St,Boston,MA",7Dec,4.3,Renaissance Boston Waterfront Hotel,"Rs24,641","Rs12,939",4 stars
"606 Congress St,Boston,MA",8Dec,4.3,Renaissance Boston Waterfront Hotel,"Rs24,641","Rs12,939",4 stars
"40 Edwin H. Land Boulevard,Boston,MA",29Nov,4.5,Royal Sonesta Boston,"Rs25,397","Rs20,090",4 stars
"40 Edwin H. Land Boulevard,Boston,MA",30Nov,4.5,Royal Sonesta Boston,"Rs25,397","Rs12,953",4 stars
"40 Edwin H. Land Boulevard,Boston,MA",01-Dec,4.5,Royal Sonesta Boston,"Rs25,397","Rs11,256",4 stars
"40 Edwin H. Land Boulevard,Boston,MA",2Dec,4.5,Royal Sonesta Boston,"Rs25,397","Rs12,953",4 stars
"40 Edwin H. Land Boulevard,Boston,MA",3Dec,4.5,Royal Sonesta Boston,"Rs25,397","Rs12,953",4 stars
"40 Edwin H. Land Boulevard,Boston,MA",4Dec,4.5,Royal Sonesta Boston,"Rs25,397","Rs18,789",4 stars
"40 Edwin H. Land Boulevard,Boston,MA",5Dec,4.5,Royal Sonesta Boston,"Rs25,397","Rs21,390",4 stars
"40 Edwin H. Land Boulevard,Boston,MA",6Dec,4.5,Royal Sonesta Boston,"Rs25,397","Rs20,740",4 stars
"40 Edwin H. Land Boulevard,Boston,MA",7Dec,4.5,Royal Sonesta Boston,"Rs25,397","Rs21,437",4 stars
"40 Edwin H. Land Boulevard,Boston,MA",8Dec,4.5,Royal Sonesta Boston,"Rs25,397","Rs21,437",4 stars
"1 Court Street,Boston,MA",29Nov,4.3,"The Ames Boston Hotel, Curio Collection by Hilton","Rs42,656","Rs24,517",4 stars
"1 Court Street,Boston,MA",30Nov,4.3,"The Ames Boston Hotel, Curio Collection by Hilton","Rs42,656","Rs13,985",4 stars
"1 Court Street,Boston,MA",01-Dec,4.3,"The Ames Boston Hotel, Curio Collection by Hilton","Rs42,656","Rs13,985",4 stars
"1 Court Street,Boston,MA",2Dec,4.3,"The Ames Boston Hotel, Curio Collection by Hilton","Rs42,656","Rs13,985",4 stars
"1 Court Street,Boston,MA",3Dec,4.3,"The Ames Boston Hotel, Curio Collection by Hilton","Rs42,656","Rs10,474",4 stars
"1 Court Street,Boston,MA",4Dec,4.3,"The Ames Boston Hotel, Curio Collection by Hilton","Rs42,656","Rs18,666",4 stars
"1 Court Street,Boston,MA",5Dec,4.3,"The Ames Boston Hotel, Curio Collection by Hilton","Rs42,656","Rs20,421",4 stars
"1 Court Street,Boston,MA",6Dec,4.3,"The Ames Boston Hotel, Curio Collection by Hilton","Rs42,656","Rs20,421",4 stars
"1 Court Street,Boston,MA",7Dec,4.3,"The Ames Boston Hotel, Curio Collection by Hilton","Rs42,656","Rs14,570",4 stars
"1 Court Street,Boston,MA",8Dec,4.3,"The Ames Boston Hotel, Curio Collection by Hilton","Rs42,656","Rs14,570",4 stars
"70 Sleeper Street,Boston,MA",29Nov,4.4,"The Envoy Hotel, Autograph Collection","Rs29,843","Rs29,843",4 stars
