Address,Date,Guest_review,Hotel_name,Max_price,Price,Star_rating
"1 Seaport Lane,Boston,MA",01-Dec,4.7,Seaport Boston Hotel,"Rs20,415","Rs13,392",4 stars
"39 Dalton St,Boston,MA",01-Dec,4.2,Sheraton Boston Hotel,"Rs11,654","Rs11,653",4 stars
"50 Park Plaza at Arlington Street,Boston,MA",01-Dec,4.1,Boston Park Plaza,"Rs11,638","Rs9,892",4 stars
"32 Garrison Street,Boston,MA",01-Dec,3.9,Global Luxury Suites at Back Bay,"Rs10,691","Rs9,592",4 stars
"161 Devonshire St,Boston,MA",01-Dec,4.1,Club Quarters Hotel in Boston,"Rs8,719","Rs8,719",4 stars
"40 Dalton St,Boston,MA",01-Dec,4,Hilton Boston Back Bay,"Rs38,944","Rs12,938",4 stars
"One Avenue De Lafayette,Boston,MA",01-Dec,4.4,Hyatt Regency Boston,"Rs37,644","Rs12,938",4 stars
"120 Huntington Avenue,Boston,MA",01-Dec,4.4,The Colonnade Hotel Back Bay,"Rs19,439","Rs14,580",4 stars
"180 Brookline Avenue,Boston,MA",01-Dec,3.9,Global Luxury Suites at Fenway Park South,"Rs12,589","Rs11,295",4 stars
"One Hotel Drive,Boston,MA",01-Dec,4.1,Hilton Boston Logan Airport,"Rs8,868","Rs8,868",4 stars
"370 Commonwealth Ave,Boston,MA",01-Dec,4.6,The Eliot Hotel,"Rs22,430","Rs16,579",4 stars
"9 Miner Street,Boston,MA",01-Dec,4.1,Evolve Fenway Diamond,"Rs22,690","Rs19,287",4 stars
"425 Summer St,Boston,MA",01-Dec,4.4,The Westin Boston Waterfront,"Rs23,357","Rs7,753",4 stars
"47 Huntington Ave,Boston,MA",01-Dec,4.2,Copley Square Hotel,"Rs16,189","Rs12,142",4 stars
"154 Berkeley Street,Boston,MA",01-Dec,4.6,Loews Boston Hotel,"Rs31,792","Rs17,879",4 stars
"575 Memorial Drive,Boston,MA",01-Dec,4,"Hyatt Regency Cambridge, Overlooking Boston","Rs23,340","Rs10,988",4 stars
"200 Stuart St,Boston,MA",01-Dec,4.4,Revere Hotel Boston Common,"Rs25,941","Rs14,570",4 stars
"101 Harborside Drive,Boston,MA",01-Dec,4.4,Hyatt Regency Boston Harbor,"Rs18,139","Rs14,238",4 stars
"155 Portland St,Boston,MA",01-Dec,4.4,Kimpton Onyx Hotel,"Rs10,350","Rs10,349",4 stars
"70 Third Avenue,Boston,MA",01-Dec,4.1,The Westin Waltham-Boston,"Rs18,789","Rs9,687",4 stars
"35 South Huntington Avenue,Boston,MA",01-Dec,3.5,Global Luxury Suites at Mission Hill,"Rs11,323","Rs10,160",4 stars
"296 State St,Boston,MA",01-Dec,4.4,Boston Marriott Long Wharf,"Rs27,892","Rs12,939",4 stars
"107 Merrimac St,Boston,MA",01-Dec,4.4,The Boxer,"Rs11,638","Rs10,241",4 stars
"50 Lewis Street,Boston,MA",01-Dec,3.5,Evolve East Boston,"Rs15,539","Rs13,208",4 stars
"90 Tremont St,Boston,MA",01-Dec,4.6,Kimpton Nine Zero Hotel,"Rs29,842","Rs14,888",4 stars
"Two Cambridge Center, 50 Broadway,Boston,MA",01-Dec,4.3,Boston Marriott Cambridge,"Rs33,093","Rs10,857",4 stars
"220 Alewife Brook Parkway,Boston,MA",01-Dec,4.3,Freepoint,"Rs9,432","Rs8,269",4 stars
"60 School St,Boston,MA",01-Dec,4.2,Boston Omni Parker House Hotel,"Rs10,988","Rs10,988",4 stars
